output_prefix,motif_id,motif_name,SEA_NOSEA_change,SEA_NOSEA_pvalue,SEA_NOSEA_highlighted,IF_UF_change,IF_UF_pvalue,IF_UF_highlighted,highlighted,quadrant,plot_group
REST_MA0138.3,MA0138.3,REST,-0.04274,1.05287e-57,FALSE,-0.00635,9.33599e-4,FALSE,FALSE,Low in Both,Not highlighted
RFX2_MA0600.3,MA0600.3,RFX2,-0.05646,2.63399e-43,FALSE,-0.03107,3.64861e-21,FALSE,FALSE,Low in Both,Not highlighted
RFX4_MA0799.3,MA0799.3,RFX4,-0.01734,3.75733e-4,FALSE,-0.07696,3.50143e-27,FALSE,FALSE,Low in Both,Not highlighted
RFX5_MA0510.3,MA0510.3,RFX5,-0.06502,8.48911e-48,FALSE,-0.01854,3.41587e-9,FALSE,FALSE,Low in Both,Not highlighted
RFX7_MA1554.2,MA1554.2,RFX7,-0.03127,5.15023e-14,FALSE,-0.07885,4.569e-41,TRUE,TRUE,Low in Both,Low in Both
RHOXF1_MA0719.2,MA0719.2,RHOXF1,0.00583,6.33281e-4,FALSE,0.04626,4.02309e-26,FALSE,FALSE,High in Both,Not highlighted
RORA_MA0072.2,MA0072.2,RORA,-0.07208,2.21838e-68,FALSE,0.01904,2.01323e-13,FALSE,FALSE,"Up in IF, Down in SEA",Not highlighted
RORB_MA1150.2,MA1150.2,RORB,-0.03973,2.81401e-25,FALSE,-0.0535,4.6247e-33,FALSE,FALSE,Low in Both,Not highlighted
RORC_MA1151.2,MA1151.2,RORC,-0.04842,5.712229999999999e-34,FALSE,-0.00793,2.82035e-6,FALSE,FALSE,Low in Both,Not highlighted
RREB1_MA0073.2,MA0073.2,RREB1,7.9e-4,0.0355333,FALSE,0.02869,1.55768e-43,FALSE,FALSE,High in Both,Not highlighted
RUNX3_MA0684.3,MA0684.3,RUNX3,0.03185,7.533819999999999e-28,FALSE,0.03644,7.768460000000001e-24,FALSE,FALSE,High in Both,Not highlighted
SATB1_MA1963.2,MA1963.2,SATB1,-0.04336,2.43525e-32,FALSE,-0.02963,1.9955e-14,FALSE,FALSE,Low in Both,Not highlighted
SCRT1_MA0743.3,MA0743.3,SCRT1,-0.02464,7.2216e-18,FALSE,-0.09909,8.97914e-60,TRUE,TRUE,Low in Both,Low in Both
SCRT2_MA0744.3,MA0744.3,SCRT2,-0.00298,0.365156,FALSE,-0.09551,2.57539e-59,TRUE,TRUE,Low in Both,Low in Both
SHOX_MA0630.2,MA0630.2,SHOX,-0.07551,1.53547e-41,FALSE,0.0847,4.34315e-31,TRUE,TRUE,"Up in IF, Down in SEA","Up in IF, Down in SEA"
SIX1_MA1118.2,MA1118.2,SIX1,0.02604,4.55025e-10,FALSE,-0.0445,2.5307e-11,FALSE,FALSE,"Up in SEA, Down in IF",Not highlighted
SIX2_MA1119.2,MA1119.2,SIX2,0.01148,0.00167646,FALSE,-0.05913,3.78565e-24,FALSE,FALSE,"Up in SEA, Down in IF",Not highlighted
SMAD2_MA1964.2,MA1964.2,SMAD2,-0.02699,6.08248e-50,FALSE,-0.00209,0.0564685,FALSE,FALSE,Low in Both,Not highlighted
SNAI1_MA1558.2,MA1558.2,SNAI1,0.00783,6.05094e-4,FALSE,-0.12842,8.95467e-67,TRUE,TRUE,"Up in SEA, Down in IF","Up in SEA, Down in IF"
SNAI2_MA0745.3,MA0745.3,SNAI2,-0.02463,5.2617099999999995e-21,FALSE,-0.08213,1.88587e-40,TRUE,TRUE,Low in Both,Low in Both
SNAI3_MA1559.2,MA1559.2,SNAI3,-0.01692,8.84997e-9,FALSE,-0.131,2.8369799999999996e-53,TRUE,TRUE,Low in Both,Low in Both
SOHLH2_MA1560.2,MA1560.2,SOHLH2,0.05349,4.18896e-27,FALSE,0.06253,1.49926e-20,FALSE,FALSE,High in Both,Not highlighted
SOX10_MA0442.3,MA0442.3,SOX10,-0.04235,2.8278099999999995e-69,FALSE,-0.01531,1.3665599999999999e-21,FALSE,FALSE,Low in Both,Not highlighted
SOX12_MA1561.2,MA1561.2,SOX12,0.02217,4.04029e-10,FALSE,0.02858,7.71545e-12,FALSE,FALSE,High in Both,Not highlighted
SOX13_MA1120.2,MA1120.2,SOX13,0.025,3.15193e-13,FALSE,0.00572,0.681299,FALSE,FALSE,High in Both,Not highlighted
SOX14_MA1562.2,MA1562.2,SOX14,0.02105,9.24758e-4,FALSE,-0.0572,1.31688e-11,FALSE,FALSE,"Up in SEA, Down in IF",Not highlighted
SOX15_MA1152.2,MA1152.2,SOX15,-0.03342,2.02535e-9,FALSE,-0.00975,0.0986369,FALSE,FALSE,Low in Both,Not highlighted
SOX4_MA0867.3,MA0867.3,SOX4,-0.01503,2.59418e-15,FALSE,-0.04387,1.0743699999999998e-39,FALSE,FALSE,Low in Both,Not highlighted
SOX8_MA0868.3,MA0868.3,SOX8,-0.05098,1.59974e-57,FALSE,0.01915,6.46243e-15,FALSE,FALSE,"Up in IF, Down in SEA",Not highlighted
SOX9_MA0077.2,MA0077.2,SOX9,-0.01801,1.30311e-7,FALSE,-0.08237,4.67996e-47,TRUE,TRUE,Low in Both,Low in Both
SP3_MA0746.3,MA0746.3,SP3,0.08826,4.98962e-102,TRUE,-0.07557,1.546e-80,TRUE,TRUE,"Up in SEA, Down in IF","Up in SEA, Down in IF"
