gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,interaction_log2FC,neglog10_padj,direction
Rnf31,1157.5090766816102,-0.1986571989758483,0.13914976879104862,-1.4276502268153803,0.1533925590727172,0.45392243348512284,-0.1986571989758483,0.34301835328260843,Not significant
Irf9,2024.9123509024491,-0.23257889646701788,0.10248039974079665,-2.2694963822865537,0.023238156975512382,0.15298445993641424,-0.23257889646701788,0.8153526822976289,Not significant
Ipo4,1097.2250773824005,0.08714381065725214,0.12042047412410248,0.7236627433258883,0.46927281130577814,0.7558249822034665,0.08714381065725214,0.12157875749203498,Not significant
Tm9sf1,1957.0448033395185,-0.025786410993736124,0.07498853667187234,-0.34387137205476925,0.7309430222118735,0.8979562477275471,-0.025786410993736124,0.04674482350352364,Not significant
Tssk4,18.968911238463807,-0.7773545505387747,0.42213896541701557,-1.8414659963238758,0.06555329918154791,0.28606783568337385,-0.7773545505387747,0.5435309697742288,Not significant
Mdp1,691.511324528689,-0.09627388553445017,0.10002644810447728,-0.962484296492188,0.3358063876826404,0.6553684170311213,-0.09627388553445017,0.1835144916072947,Not significant
Nedd8,1812.9418525027463,-0.1336399167429126,0.15890650744897503,-0.8409971302517264,0.4003495420979381,0.7102298807398483,-0.1336399167429126,0.1486010600441993,Not significant
Gmpr2,1012.3854686561886,-0.1484305140924702,0.10406811060803464,-1.426282395493116,0.15378684410884705,0.45422172097142105,-0.1484305140924702,0.34273210157274536,Not significant
Tinf2,565.6932506792581,-0.18976021599168477,0.0967690106151108,-1.960960588368908,0.04988362055801167,0.24510702386850025,-0.18976021599168477,0.6106442432823006,Not significant
Tgm1,44.87795873259123,0.7298965802914391,0.31045403079951184,2.351061696354006,0.018719929640916677,0.13369497230066166,0.7298965802914391,0.8738849243994584,Not significant
Rabggta,580.11890371989,0.20123944963376983,0.10651871520421588,1.8892403015559938,0.0588596367758168,0.2699945408122863,0.20123944963376983,0.5686450170227493,Not significant
Dhrs1,1866.678684833275,0.19745794214383694,0.09021657783418975,2.1887101781531495,0.028617911736766897,0.17381886171523822,0.19745794214383694,0.7599030984605151,Not significant
Nop9,1094.9054314513605,-0.06040467009497976,0.07809373479634121,-0.7734893234714367,0.4392328448962564,0.7375509548514111,-0.06040467009497976,0.13220797040559043,Not significant
Ltb4r1,22.35874086330834,-0.06745421802401576,0.5039538096509532,-0.13385000119502158,0.8935211876637909,0.9622292867682187,-0.06745421802401576,0.01672142888401912,Not significant
Ripk3,1038.4420388591545,-0.27133368402437474,0.10830284023769032,-2.505323807103152,0.012233933459321892,0.10064702583955296,-0.27133368402437474,0.9971990541638495,Not significant
Nynrin,120.0065562863499,0.04417055043156099,0.2622612708961503,0.16842193390060844,0.8662513538120287,0.9536827048744698,0.04417055043156099,0.020596093265416948,Not significant
Khnyn,690.1016413547775,-0.17793007072395403,0.14026199062795847,-1.2685551511664286,0.2045997687030325,0.5237066348482664,-0.17793007072395403,0.28091192397948117,Not significant
Sdr39u1,40.2335541627293,-0.039591344489854775,0.32124553245394133,-0.1232432531821472,0.9019144755316035,0.9652227582625927,-0.039591344489854775,0.01537244673907067,Not significant
Ctsg,10.470406532216456,-1.230082351628068,0.9907166173399766,-1.2416086801196249,0.2143809776084195,0.5354690100822024,-1.230082351628068,0.2712656586131616,Not significant
Gzmc,9.58670997866618,-0.717809801344617,1.595069546459918,-0.4500178709685212,0.6526975546956602,0.8665342917436796,-0.717809801344617,0.06221424608292859,Not significant
Gzmb,14.665078388378646,0.29672044658389923,1.0311890946797402,0.28774591208807604,0.7735412428254703,0.9194952685449298,0.29672044658389923,0.03645050117317416,Not significant
Rnf17,28.125707221189703,0.8898451302526994,0.524089498515001,1.6978877324847397,0.08952895304517723,0.3425547313255622,0.8898451302526994,0.46527002967899156,Not significant
Cenpj,331.60408096570126,-0.04012602062880471,0.1269277203802052,-0.3161328392931769,0.7519016817832819,0.9092576210217934,-0.04012602062880471,0.04131305018104178,Not significant
Parp4,1377.604359832603,0.024617132654148565,0.14045551401368586,0.17526640251197181,0.8608703100237042,0.9521206369561024,0.024617132654148565,0.021308021526147785,Not significant
Mphosph8,762.6025248792031,-0.06562459937753089,0.15920449186102792,-0.4122031898121042,0.6801904993412987,0.8780012354914838,-0.06562459937753089,0.05650487297002918,Not significant
Gm16973,81.17265084725541,0.09741963485556546,0.22618425166895387,0.43070918570471506,0.6666798389130759,0.8724841200125583,0.09741963485556546,0.05924246884291465,Not significant
Pspc1,400.3609501420211,-0.0853315468070518,0.10989469502573124,-0.776484677327435,0.43746286454391103,0.7364629694426827,-0.0853315468070518,0.13284908530609799,Not significant
Zmym5,542.9491985135301,0.03125348786229359,0.14012264058970286,0.2230438116978385,0.8235014084560439,0.9383279865920171,0.03125348786229359,0.027645330203912525,Not significant
Zmym2,633.9079780640686,0.13814663450295714,0.17752694021875545,0.7781727907478583,0.43646715510693895,0.7360125571082319,0.13814663450295714,0.133114776102321,Not significant
