"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0018210","peptidyl-threonine modification","16/2081","124/28564",0.0182120713387448,0.0905011075070869,0.0674298390020703,"Nlk/Prkca/Lrrk2/Gsk3b/Dyrk1a/Ppp2r5d/Rock1/Galnt1/Bmp7/Map3k7/Prkag2/Prkd2/Hipk4/Plk1/Galnt2/Phip",16
"GO:0045582","positive regulation of T cell differentiation","16/2081","124/28564",0.0182120713387448,0.0905011075070869,0.0674298390020703,"Zap70/Dusp10/Lilrb4b/Sox4/Cd83/Arid1b/H2-Aa/Socs5/Gata3/Actl6a/Runx3/Actb/Gimap5/Gimap3/Zbtb16/Smarcc1",16
"GO:0001964","startle response","7/2081","38/28564",0.0184650903160613,0.0916360882085068,0.0682754813160189,"Prkn/Nrxn1/Grin1/Ucn/Grid2/Ctnna2/Kcna1",7
"GO:0007212","dopamine receptor signaling pathway","7/2081","38/28564",0.0184650903160613,0.0916360882085068,0.0682754813160189,"Oprm1/Nsg2/Lrrk2/Alk/Gnas/Nsg1/Gnao1",7
"GO:0048661","positive regulation of smooth muscle cell proliferation","15/2081","114/28564",0.0185143235860863,0.0918192037140747,0.0684119155475918,"Hdac4/Map3k5/Phb/Prkca/Hif1a/Ptk2/Gsk3b/Notch3/Egr1/Hbegf/Src/Nr4a3/Foxp1/C3ar1/Cdh13",15
"GO:1901987","regulation of cell cycle phase transition","44/2081","437/28564",0.0186181817351827,0.092261923298293,0.0687417735030269,"Tex14/Stxbp4/Zfp36l1/Dpf3/Ppp2r5c/Neurog1/Ercc6/Rnaseh2b/Ccar2/Tfap4/Arid1b/Msh2/Pabir1/Cacnb4/Eif2ak4/Plcb1/Fam83d/Actl6a/Anp32b/Syf2/Pdpn/Rint1/Apbb2/Mn1/Ptpn11/Mad1l1/Actb/Trrap/Xpc/Ccnd2/Ercc2/Arhgap33os/Plk1/Bcl7c/Cdkn1c/Ccnd1/Myo16/Cdc16/Fbxo31/Fem1b/Smarcc1/Ctdspl/Ppp2r3d/Ddx3x",44
"GO:0021872","forebrain generation of neurons","10/2081","65/28564",0.0186283813430057,0.092261923298293,0.0687417735030269,"Nr2e1/Ubb/Shank3/Lhx6/Rapgef2/Dclk2/Gata2/Nfix/Disc1/Nrp1",10
"GO:0043543","protein acylation","28/2081","254/28564",0.0188602849094045,0.0930113301100781,0.0693001355171245,"Hhat/Atg5/Kif3a/Sox4/Cdyl/Kat6b/Ercc6/Zdhhc25/Zdhhc8/Gsk3b/Pou5f1/Ppm1b/Golga7b/Actl6a/Supt20/Map3k7/Meaf6/Chd5/Nos1/Por/Actb/Trrap/Gata2/Klf15/Arrb1/Terf2ip/Hhatl/Ddx3x",28
"GO:0010842","retina layer formation","5/2081","22/28564",0.018917135113737,0.0930113301100781,0.0693001355171245,"Sdk2/Atp8a2/Ptprm/Fat3/Megf11",5
"GO:0030852","regulation of granulocyte differentiation","5/2081","22/28564",0.018917135113737,0.0930113301100781,0.0693001355171245,"Ikzf1/Zbtb46/Prdm16/Ceacam1/Mir223",5
"GO:0032634","interleukin-5 production","5/2081","22/28564",0.018917135113737,0.0930113301100781,0.0693001355171245,"Lilrb4b/Epx/Tnfrsf21/Il33/Gata3",5
"GO:0046629","gamma-delta T cell activation","5/2081","22/28564",0.018917135113737,0.0930113301100781,0.0693001355171245,"Jag2/Sox4/Rorc/Gimap5/Gimap3",5
"GO:0048486","parasympathetic nervous system development","5/2081","22/28564",0.018917135113737,0.0930113301100781,0.0693001355171245,"Ackr3/Adarb1/Plxna4/Nav2/Nrp1",5
"GO:0050910","detection of mechanical stimulus involved in sensory perception of sound","5/2081","22/28564",0.018917135113737,0.0930113301100781,0.0693001355171245,"Slc12a2/Whrn/Atp2b2/Hpn/Kcnq1",5
"GO:0060307","regulation of ventricular cardiac muscle cell membrane repolarization","5/2081","22/28564",0.018917135113737,0.0930113301100781,0.0693001355171245,"Nos1ap/Kcnh6/Kcnh2/Kcnq1/Scn5a",5
"GO:0070254","mucus secretion","5/2081","22/28564",0.018917135113737,0.0930113301100781,0.0693001355171245,"Adora1/Atg5/Agr2/Muc2/Ano1",5
