output_prefix	name	motif_id	cluster	total_tfbs	IF_mean_score	IF_bound	UF_mean_score	UF_bound	IF_UF_change	IF_UF_pvalue	IF_UF_highlighted
RREB1_MA0073.2	RREB1	MA0073.2	C_RREB1	30347	0.21218	2086	0.18766	1843	0.02869	1.55768E-43	False
RUNX3_MA0684.3	RUNX3	MA0684.3	C_RUNX3	10076	0.11377	396	0.09632	354	0.03644	7.76846E-24	False
SATB1_MA1963.2	SATB1	MA1963.2	C_SATB1	6163	0.12941	269	0.13327	258	-0.02963	1.99550E-14	False
SCRT1_MA0743.3	SCRT1	MA0743.3	C_SCRT2	6889	0.09031	230	0.10876	265	-0.09909	8.97914E-60	True
SCRT2_MA0744.3	SCRT2	MA0744.3	C_SCRT2	7215	0.10367	269	0.11761	303	-0.09551	2.57539E-59	True
SHOX_MA0630.2	SHOX	MA0630.2	C_VAX2	4821	0.05167	103	0.04244	81	0.0847	4.34315E-31	True
SIX1_MA1118.2	SIX1	MA1118.2	C_SIX2	7880	0.01293	32	0.01484	45	-0.0445	2.53070E-11	False
SIX2_MA1119.2	SIX2	MA1119.2	C_SIX2	10528	0.02362	81	0.02474	101	-0.05913	3.78565E-24	False
SMAD2_MA1964.2	SMAD2	MA1964.2	C_SMAD2	27392	0.33857	2558	0.31155	2398	-0.00209	5.64685E-02	False
SNAI1_MA1558.2	SNAI1	MA1558.2	C_FIGLA	8203	0.05002	137	0.0602	180	-0.12842	8.95467E-67	True
SNAI2_MA0745.3	SNAI2	MA0745.3	C_MYOD1	7866	0.03298	110	0.03711	106	-0.08213	1.88587E-40	True
SNAI3_MA1559.2	SNAI3	MA1559.2	C_MYOD1	8676	0.01837	65	0.02446	84	-0.131	2.83698E-53	True
SOHLH2_MA1560.2	SOHLH2	MA1560.2	C_Mlxip	3294	0.06906	86	0.04705	58	0.06253	1.49926E-20	False
SOX10_MA0442.3	SOX10	MA0442.3	C_Sox11	28229	0.1675	1672	0.15605	1558	-0.01531	1.36656E-21	False
SOX12_MA1561.2	SOX12	MA1561.2	C_SOX12	4541	0.10895	188	0.10076	162	0.02858	7.71545E-12	False
SOX13_MA1120.2	SOX13	MA1120.2	C_Sox7	4134	0.10706	172	0.10639	167	0.00572	6.81299E-01	False
SOX14_MA1562.2	SOX14	MA1562.2	C_SOX14	4505	0.02812	49	0.03129	55	-0.0572	1.31688E-11	False
SOX15_MA1152.2	SOX15	MA1152.2	C_SOX15	2564	0.09092	86	0.08982	85	-0.00975	9.86369E-02	False
SOX4_MA0867.3	SOX4	MA0867.3	C_Sox6	12119	0.1738	755	0.17248	737	-0.04387	1.07437E-39	False
SOX8_MA0868.3	SOX8	MA0868.3	C_SOX8	10016	0.13792	550	0.1232	451	0.01915	6.46243E-15	False
SOX9_MA0077.2	SOX9	MA0077.2	C_Sox7	5587	0.11449	256	0.11691	246	-0.08237	4.67996E-47	True
SP3_MA0746.3	SP3	MA0746.3	C_KLF16	27758	0.11665	1191	0.12972	1292	-0.07557	1.54600E-80	True
SP5_MA1965.2	SP5	MA1965.2	C_SP5	68289	0.14738	3643	0.13879	3383	-0.00445	4.05713E-10	False
SP8_MA0747.2	SP8	MA0747.2	C_KLF16	27758	0.06808	742	0.0663	730	-0.03091	7.51206E-39	False
SP9_MA1564.2	SP9	MA1564.2	C_KLF16	27137	0.06376	654	0.06942	739	-0.07997	9.39857E-72	True
SPIB_MA0081.3	SPIB	MA0081.3	C_Spi1	47304	0.06961	1353	0.05749	1105	0.06325	1.87165E-68	True
SPIC_MA0687.2	SPIC	MA0687.2	C_SPIC	26414	0.11416	1174	0.09931	975	0.0584	1.81209E-62	True
